round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url,team1_championship_rank,team1_adjusted_finish_score,team2_championship_rank,team2_adjusted_finish_score,favorite,underdog,quality_gap,matchup_advantage,final_upset_score,upset_predicted,predicted_winner,predicted_winner_seed
4,East,Sweet 16,E_S16_02,Virginia Commonwealth,11,Alabama,2,E_E8_01,2,,12,2.5612102076885095,6,2.77640867454779,Alabama,Virginia Commonwealth,0.4396488409773498,0.4597548417399198,0.17398309510464244,FALSE,Alabama,2
4,West,Sweet 16,W_S16_01,Florida,1,Maryland,4,W_E8_01,1,,3,3.039703092575274,8,2.7453717330322727,Florida,Maryland,0.6013167425165027,-0.011180408559744975,-0.4020362911954717,FALSE,Florida,1
4,West,Sweet 16,W_S16_02,Texas Tech,3,St. John's (NY),2,W_E8_01,2,,10,2.6732068605812658,15,2.4874002529796604,Texas Tech,St. John's (NY),0.3796014947048687,-0.09238896751953132,-0.33912993907769595,FALSE,Texas Tech,3
4,Midwest,Sweet 16,M_S16_01,Houston,1,Purdue,4,M_E8_01,1,,4,3.0023713597900503,22,2.3816427703128564,Houston,Purdue,1.2681438158367828,-0.5083744944138912,-1.3326679747078,FALSE,Houston,1
4,Midwest,Sweet 16,M_S16_02,Kentucky,3,Tennessee,2,M_E8_01,2,,14,2.5030302958902775,7,2.762518249969838,Tennessee,Kentucky,0.5301319285571978,-0.576496774860487,-0.9210825284226656,FALSE,Tennessee,2
5,South,Elite Eight,S_E8_01,Auburn,1,Michigan State,2,N_SF_01,1,,2,3.1539289688098515,11,2.583958886204643,Auburn,Michigan State,1.164444570011757,-0.3922690831368428,-1.1491580536444848,FALSE,Auburn,1
5,East,Elite Eight,E_E8_01,Duke,1,Alabama,2,N_SF_02,1,,1,3.385481141032093,6,2.77640867454779,Duke,Alabama,1.2443304446780332,-0.6152717297695259,-1.4240865188102476,FALSE,Duke,1
5,West,Elite Eight,W_E8_01,Florida,1,Texas Tech,3,N_SF_01,2,,3,3.039703092575274,10,2.6732068605812658,Florida,Texas Tech,0.7487490313957261,-0.08441708634893078,-0.5711039567561528,FALSE,Florida,1
5,Midwest,Elite Eight,M_E8_01,Houston,1,Tennessee,2,N_SF_02,2,,4,3.0023713597900503,7,2.762518249969838,Houston,Tennessee,0.49001809016708453,0.13079843469715247,-0.1877133239114525,FALSE,Houston,1
6,National,Final Four,N_SF_01,Auburn,1,Florida,1,N_F_01,1,,2,3.1539289688098515,3,3.039703092575274,Auburn,Florida,0.23336260164433664,-0.00255792076830709,-0.15424361183712593,FALSE,Auburn,1
6,National,Final Four,N_SF_02,Duke,1,Houston,1,N_F_01,2,,1,3.385481141032093,4,3.0023713597900503,Duke,Houston,0.7826903869175326,0.4212911411952283,-0.08745761030116789,FALSE,Duke,1
7,National,Championship,N_F_01,Auburn,1,Duke,1,,,,2,3.1539289688098515,1,3.385481141032093,Duke,Auburn,0.4730593374062688,-0.23811465502068002,-0.5456032243347548,FALSE,Duke,1
