championship_similarity_rank,season,team,championship_similarity_score,mahalanobis_distance,mahalanobis_distance_squared,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
13,2024,Grand Canyon,0,31.763761960759645,1008.9365738998014,-23.627071016741592,-12.81036516529999,1.0766396329216263,19.350459372928075,12.590846078148974,-6.566510098476819,11.75297332133044,3.716438525767935
14,2024,Texas Tech,0,31.861873554577897,1015.1789864079104,-9.997386263183946,2.036152532669067,23.7036178901328,14.611234284839707,16.12786374345647,-10.12151704737792,2.216510511597876,2.537584158494463
15,2024,Colgate,0,32.05331613037508,1027.4150749537635,-14.275747844228208,-5.932346294595777,33.761927981600245,6.39318438965274,3.614423194339285,-7.620433985532299,-3.901427820640355,3.282644831642462
16,2024,San Diego State,0,32.38336897134265,1048.6825859341177,-29.81109056506855,-2.827633069852167,16.50613481580149,4.864298110037584,20.27824919004765,-13.44564539277067,0.6621791903962657,-0.8625827833868323
17,2024,Colorado State,0,32.59325648687359,1062.3203684191274,1.6156965938131718,-2.2260891320351894,26.691535155204583,16.249344724530754,12.426975341613588,1.0371716172476007,-10.524640817755168,2.496119558888964
18,2024,Western Kentucky,0,32.59936756171333,1062.7187654236873,-29.56043683395172,-2.129942262817793,6.321053211344274,17.225350429843072,0.482144582736848,-3.6059593527315914,13.689884119307294,11.313455078376702
19,2024,Alabama,0,33.249790779467816,1105.548586878383,8.10816635432574,-3.8776800587312925,12.194956288508884,19.245914624150508,8.068670031432747,-5.392545512785979,10.439560548266138,-18.828686934527873
20,2024,Duke,0,33.427790172757064,1117.417155833874,-3.4191715302300807e-4,-4.153456917026616,22.506382619566768,-0.8635255011168433,18.69609012462465,-12.178892994889639,-12.167617207075217,1.1296344517643186
21,2024,Wisconsin,0,33.583126618824835,1127.8263934960212,-12.60844806436976,7.798087102341206,13.918931345057397,-13.384939594791826,21.87792586554565,-11.833111658273745,-10.94964170958501,-0.794013727877215
22,2024,Mississippi State,0,33.607410377134045,1129.458032257097,-27.57936603130717,-4.190684452007457,5.499610171584266,12.655661429263366,1.065552804724053,-12.68161449203307,19.412394989232904,-2.953259610179985
