round,region,bracket_game_id,team1,team2,team1_win_probability,team2_win_probability,quality_edge,three_point_edge,turnover_edge,rebounding_edge,defensive_resistance_edge,winner,loser
Round of 32,South,S_R32_02,Vanderbilt,Nebraska,0.5447027629264284,0.4552972370735716,0.3430054434724468,-0.24330240693025373,0.16531041452116202,-0.044402078802834616,-0.6651325419288481,Vanderbilt,Nebraska
Round of 32,South,S_R32_03,Virginia Commonwealth,Illinois,0.21672587432370904,0.783274125676291,-1.0711941677141636,0.2608738387591849,0.646956400545047,-0.9205132460065731,-0.24885970170312466,Illinois,Virginia Commonwealth
Round of 32,South,S_R32_04,Saint Mary's,Houston,0.36419091359169953,0.6358090864083005,-0.4734761408770827,0.8453552125563273,-2.3388140506372315,1.4888316498249006,-0.21440865514499952,Saint Mary's,Houston
Round of 32,West,W_R32_01,Arizona,Utah State,0.8784556809537466,0.1215443190462534,1.2783746150237143,-0.6965332335535219,-0.5129562100110645,1.7685683426274246,1.499434721636893,Arizona,Utah State
Round of 32,West,W_R32_02,High Point,Arkansas,0.7999077732954396,0.20009222670456042,0.3425394072949095,-0.21777296770497256,1.579696863022507,0.5312786312871568,1.738902463499329,High Point,Arkansas
Round of 32,West,W_R32_03,North Carolina State,Gonzaga,0.06275241076356897,0.937247589236431,-1.5911082469560678,1.5933318945680148,-0.5307385172803087,-1.8112739162117137,-2.9161537467221255,Gonzaga,North Carolina State
Round of 32,West,W_R32_04,Miami (FL),Purdue,0.20529954798642908,0.794700452013571,-0.7586141178569966,-1.5552338559625434,-0.1668855039042859,-0.01099311410444384,0.46642615637666474,Purdue,Miami (FL)
Sweet 16,East,E_S16_01,Duke,St. John's (NY),0.9311205679452609,0.06887943205473912,1.5564697390122546,1.075257099965105,-0.42585461999061763,1.0883131751413881,0.9560536261632544,St. John's (NY),Duke
Sweet 16,East,E_S16_02,Michigan State,Connecticut,0.3210763138767381,0.6789236861232619,-0.4552377132923926,-0.3846834564661591,-0.9046480357033249,1.4500244548675,-1.017120970249992,Connecticut,Michigan State
Sweet 16,Midwest,M_S16_01,Michigan,Alabama,0.95,0.05,1.8815865286093483,0.03763481366978044,-0.2833655580942631,1.5794377275798563,2.4834749183655367,Michigan,Alabama
Sweet 16,Midwest,M_S16_02,Virginia,Iowa State,0.22594862184341835,0.7740513781565816,-0.6915949370224467,-0.10213738630281521,-1.8969916173764148,0.504147716799164,0.07041927188934083,Iowa State,Virginia
Sweet 16,South,S_S16_01,Florida,Vanderbilt,0.7160011975239158,0.2839988024760842,0.6797235969182873,-1.6709376857286704,-1.1216760963925831,2.6547524225963155,1.0717398945910293,Vanderbilt,Florida
Sweet 16,South,S_S16_02,Illinois,Saint Mary's,0.4801354194755132,0.5198645805244868,0.5619320431384041,-0.7067225602672926,-0.1969245286082688,-0.6803141337172526,-0.8607900895585164,Illinois,Saint Mary's
Sweet 16,West,W_S16_01,Arizona,High Point,0.7123116711727018,0.2876883288272982,0.9824531550526294,-0.8447360355728235,-1.8752506038739476,1.474486957637287,0.7708137259267831,High Point,Arizona
Sweet 16,West,W_S16_02,Gonzaga,Purdue,0.7456373047298627,0.25436269527013733,0.6359756846317476,-1.5631055392334567,0.899372720621666,0.052268719044216955,2.4228023286738605,Gonzaga,Purdue
Elite Eight,East,E_E8_01,St. John's (NY),Connecticut,0.3108622992284437,0.6891377007715562,-0.4014185224498088,-1.0127519111516046,0.5025175484847946,-0.021743334949646448,-0.49691541997122524,St. John's (NY),Connecticut
Elite Eight,Midwest,M_E8_01,Michigan,Iowa State,0.6536881033422353,0.34631189665776474,0.8852843444973821,-0.14293745432636723,-2.2227978576852365,0.39453512908325483,0.8628818339347659,Iowa State,Michigan
Elite Eight,South,S_E8_01,Vanderbilt,Illinois,0.33648268133449055,0.6635173186655094,-0.5580211276819806,0.09233395609181662,1.4492241150145913,-1.4887740644530383,-0.23094351071909291,Illinois,Vanderbilt
Elite Eight,West,W_E8_01,High Point,Gonzaga,0.35919132454611036,0.6408086754538896,-0.5368482912649315,0.9918609187298988,0.7491457684872518,-1.1068753602418364,-0.8053306369145551,Gonzaga,High Point
Final Four,National,N_SF_01,St. John's (NY),Illinois,0.3178818236431732,0.6821181763568268,-0.6466751749286015,-1.0054773314052932,1.3389458537428314,-0.609291473918829,0.45269588484775347,Illinois,St. John's (NY)
Final Four,National,N_SF_02,Gonzaga,Iowa State,0.48153521814085737,0.5184647818591426,0.13297104027367856,-1.5152216314224156,-0.2341964034544377,0.6029593288992816,0.7715570637308099,Gonzaga,Iowa State
Championship,National,N_F_01,Illinois,Gonzaga,0.31282058952114156,0.6871794104788584,-0.19303438780671223,0.9310184023334516,-1.9209402157220292,0.08130875011687999,-1.3557721365117872,Gonzaga,Illinois
