Team,SOS,Rank,Opp Record,Opp Win Percent
Marist,0.4416,324,397-516,0.4348
Ball State,0.4415,325,372-488,0.4326
Lehigh,0.441,326,400-497,0.4459
Prairie View A&M,0.4395,327,376-491,0.4337
Presbyterian College,0.4383,328,362-491,0.4244
New Orleans,0.4383,329,361-464,0.4376
Saint Thomas,0.4368,330,363-491,0.4251
Mount Saint Mary's,0.4365,331,410-550,0.4271
Northwestern State,0.4354,332,363-483,0.4291
Wagner,0.4346,333,391-505,0.4364
South Dakota,0.4344,334,348-472,0.4244
Maryland Eastern Shore,0.4334,335,316-417,0.4311
Central Arkansas,0.4327,336,361-499,0.4198
Howard,0.4319,337,407-532,0.4334
Texas A&M-Corpus Christi,0.4318,338,355-471,0.4298
North Dakota,0.4308,339,345-480,0.4182
Bethune-Cookman,0.429,340,396-546,0.4204
Little Rock,0.4283,341,397-555,0.417
Saint Francis (PA),0.4279,342,343-462,0.4261
Long Island,0.4278,343,345-479,0.4187
Delaware State,0.4276,344,392-525,0.4275
Lamar,0.4272,345,365-505,0.4195
Lindenwood,0.4268,346,335-463,0.4198
Coppin State,0.4263,347,356-484,0.4238
Jackson State,0.4263,348,395-556,0.4154
Sacred Heart,0.4228,349,362-505,0.4175
Loyola-Maryland,0.4226,350,381-535,0.4159
Boston University,0.4215,351,387-545,0.4152
Army,0.4205,352,367-516,0.4156
Arkansas-Pine Bluff,0.4199,353,335-476,0.4131
Norfolk State,0.4187,354,372-535,0.4101
Holy Cross,0.4181,355,386-554,0.4106
Central Connecticut,0.4176,356,338-491,0.4077
Le Moyne,0.4173,357,335-489,0.4066
Fairleigh Dickinson,0.4155,358,349-510,0.4063
Incarnate Word,0.411,359,324-496,0.3951
North Carolina Central,0.407,360,304-463,0.3963
Navy,0.401,361,342-540,0.3878
American,0.3911,362,336-581,0.3664
