season,team,team_slug,gamelog_url,game_number,game_date,location,opponent,game_result,points,opponent_points,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_fg2,opponent_fg2a,opponent_fg2_pct,opponent_fg3,opponent_fg3a,opponent_fg3_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_drb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,win,loss,raw_possessions,opponent_raw_possessions,estimated_possessions,offensive_rating,defensive_rating,efg_pct,opponent_efg_pct,true_shooting_pct,ft_rate,opponent_ft_rate,fg3_attempt_rate,tov_pct,forced_tov_pct,orb_pct,drb_pct,point_margin
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-03-14,N,,,,,31,66,0.47,28,43,0.651,3,23,0.13,10,12,0.833,7,35,42,13,7,1,14,16,25,59,0.424,19,35,0.543,6,24,0.25,7,10,0.7,1,24,25,6,8,2,11,16,,,78.7,73.75,76.225,,,0.49242424242424243,0.4745762711864407,,0.18181818181818182,0.1694915254237288,0.3484848484848485,0.1633605600933489,0.14715719063545152,0.22580645161290322,0.9722222222222222,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-03-15,N,,,,,22,56,0.393,14,34,0.412,8,22,0.364,13,19,0.684,8,30,38,11,3,8,13,19,22,61,0.361,17,38,0.447,5,23,0.217,13,15,0.867,7,24,31,9,3,3,11,18,,,70.025,72.125,71.075,,,0.4642857142857143,0.4016393442622951,,0.3392857142857143,0.2459016393442623,0.39285714285714285,0.16661326497917334,0.13902053712480253,0.25,0.8108108108108109,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-03-16,N,,,,,21,53,0.396,13,24,0.542,8,29,0.276,12,16,0.75,6,25,31,10,2,4,13,15,25,66,0.379,21,47,0.447,4,19,0.211,7,11,0.636,7,20,27,5,5,3,4,16,,,67.6,68.225,67.9125,,,0.4716981132075472,0.4090909090909091,,0.3018867924528302,0.16666666666666666,0.5471698113207547,0.1766304347826087,0.053173811897640415,0.23076923076923078,0.78125,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-06,,,,,,32,57,0.561,22,34,0.647,10,23,0.435,31,38,0.816,12,24,36,17,13,4,13,17,27,63,0.429,20,40,0.5,7,23,0.304,12,19,0.632,12,15,27,7,6,3,14,25,,,76.05,74.025,75.0375,,,0.6491228070175439,0.48412698412698413,,0.6666666666666666,0.30158730158730157,0.40350877192982454,0.14764338444065872,0.16274338854984016,0.4444444444444444,0.6666666666666666,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-10,,,,,,33,64,0.516,20,41,0.488,13,23,0.565,23,27,0.852,13,25,38,14,6,7,11,18,27,53,0.509,17,27,0.63,10,26,0.385,16,26,0.615,4,20,24,10,8,2,13,24,,,74.825,74.35,74.5875,,,0.6171875,0.6037735849056604,,0.421875,0.49056603773584906,0.359375,0.12524907486478792,0.16592214422463306,0.3939393939393939,0.8620689655172413,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-14,,,,,,34,55,0.618,22,32,0.688,12,23,0.522,22,30,0.733,11,35,46,21,9,7,10,19,14,61,0.23,9,32,0.281,5,29,0.172,13,21,0.619,10,13,23,6,6,2,11,21,,,68.25,71.975,70.1125,,,0.7272727272727273,0.27049180327868855,,0.5454545454545454,0.3442622950819672,0.41818181818181815,0.12618296529968454,0.13418725221103997,0.4583333333333333,0.7777777777777778,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-17,,,,,,35,60,0.583,27,41,0.659,8,19,0.421,20,29,0.69,9,32,41,16,6,2,11,18,26,64,0.406,23,50,0.46,3,14,0.214,12,23,0.522,8,18,26,7,6,4,8,24,,,75.775,74.925,75.35,,,0.65,0.4296875,,0.48333333333333334,0.359375,0.31666666666666665,0.12975523444411677,0.0964727163099186,0.3333333333333333,0.8,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-24,N,,,,,26,56,0.464,17,26,0.654,9,30,0.3,20,26,0.769,7,16,23,10,5,3,12,26,27,50,0.54,17,32,0.531,10,18,0.556,28,30,0.933,6,22,28,10,9,1,14,24,,,73.35,72.25,72.8,,,0.5446428571428571,0.64,,0.4642857142857143,0.6,0.5357142857142857,0.14934660858743,0.17891373801916932,0.2413793103448276,0.7272727272727273,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-25,N,,,,,32,64,0.5,23,40,0.575,9,24,0.375,26,28,0.929,14,24,38,15,8,6,16,16,36,69,0.522,29,49,0.592,7,20,0.35,12,15,0.8,8,16,24,20,9,5,12,24,,,79.3,80.125,79.7125,,,0.5703125,0.572463768115942,,0.4375,0.21739130434782608,0.375,0.1714898177920686,0.13617021276595745,0.4666666666666667,0.75,
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html,,2023-11-28,,,,,,23,67,0.343,12,32,0.375,11,35,0.314,20,26,0.769,12,23,35,12,7,3,7,15,32,60,0.533,21,39,0.538,11,21,0.524,10,15,0.667,8,33,41,12,4,7,11,22,,,74.35,70.125,72.2375,,,0.4253731343283582,0.625,,0.3880597014925373,0.25,0.5223880597014925,0.08106543138390272,0.1408,0.26666666666666666,0.7419354838709677,
